GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculate-tariff-vortx,br.com.vortx.tariff.dto,ResponseDTO,10,114,7,15,0,8,5,16,0,10
calculate-tariff-vortx,br.com.vortx.tariff.dto,RequestDTO,18,192,13,25,0,13,9,24,0,14
calculate-tariff-vortx,br.com.vortx.tariff.constants,GenericConstants,3,0,0,0,1,0,1,0,1,0
calculate-tariff-vortx,br.com.vortx.tariff.enumeration,PlanEnum,0,51,0,0,0,8,0,3,0,3
calculate-tariff-vortx,br.com.vortx.tariff.service,CalculateTariffService,0,126,0,10,0,26,0,12,0,7
calculate-tariff-vortx,br.com.vortx.tariff.controller,CalculateTariffController,0,8,0,0,0,2,0,2,0,2
calculate-tariff-vortx,br.com.vortx.tariff,Application,5,3,0,0,2,1,1,1,1,1
calculate-tariff-vortx,br.com.vortx.tariff.common,Utils,9,15,0,0,3,4,1,2,1,2
calculate-tariff-vortx,br.com.vortx.tariff.model,Tariff,18,189,13,25,0,12,9,24,0,14
calculate-tariff-vortx,br.com.vortx.tariff.configuration,SwaggerConfig.new ArrayList() {...},0,28,0,0,0,7,0,1,0,1
calculate-tariff-vortx,br.com.vortx.tariff.configuration,SwaggerConfig,0,47,0,0,0,11,0,4,0,4
calculate-tariff-vortx,br.com.vortx.tariff.exception,CustomMesageException,16,19,0,0,4,5,1,2,1,2
calculate-tariff-vortx,br.com.vortx.tariff.exception,ExceptionResponse,17,147,13,17,0,9,10,16,0,11
calculate-tariff-vortx,br.com.vortx.tariff.exception,InvalidDataException,0,4,0,0,0,2,0,1,0,1
